FL_DATE,OP_CARRIER,ORIGIN,DEST,ARR_DELAY
6/1/25 12:00 AM,AA,BNA,CLT,-30
6/1/25 12:00 AM,AA,BNA,CLT,-23
6/1/25 12:00 AM,AA,BNA,CLT,-18
6/1/25 12:00 AM,AA,BNA,CLT,68
6/1/25 12:00 AM,AA,BNA,DFW,-20
6/1/25 12:00 AM,AA,BNA,DFW,-14
6/1/25 12:00 AM,AA,BNA,DFW,-9
6/1/25 12:00 AM,AA,BNA,DFW,-8
6/1/25 12:00 AM,AA,BNA,DFW,-1
6/1/25 12:00 AM,AA,BNA,DFW,0
6/1/25 12:00 AM,AA,BNA,DFW,4
6/1/25 12:00 AM,AA,BNA,DFW,42
6/1/25 12:00 AM,AA,BNA,DFW,121
6/1/25 12:00 AM,AA,BNA,LAX,-28
6/1/25 12:00 AM,AA,BNA,MIA,-10
6/1/25 12:00 AM,AA,BNA,MIA,-2
6/1/25 12:00 AM,AA,BNA,MIA,27
6/1/25 12:00 AM,AA,BNA,MIA,54
6/1/25 12:00 AM,AA,BNA,ORD,7
6/1/25 12:00 AM,AA,BNA,PHL,-19
6/1/25 12:00 AM,AA,BNA,PHL,-15
6/1/25 12:00 AM,AA,BNA,PHL,31
6/1/25 12:00 AM,AA,BNA,PHL,69
6/1/25 12:00 AM,AA,BNA,PHX,-28
6/1/25 12:00 AM,AA,BNA,PHX,-27
6/1/25 12:00 AM,AA,BOI,DFW,-7
6/1/25 12:00 AM,AA,BOI,DFW,5
6/1/25 12:00 AM,AA,BOS,CLT,-27
6/1/25 12:00 AM,AA,BOS,CLT,-21
6/1/25 12:00 AM,AA,BOS,CLT,-20
6/1/25 12:00 AM,AA,BOS,CLT,-19
6/1/25 12:00 AM,AA,BOS,CLT,-17
6/1/25 12:00 AM,AA,BOS,CLT,-13
6/1/25 12:00 AM,AA,BOS,CLT,-13
6/1/25 12:00 AM,AA,BOS,CLT,-10
6/1/25 12:00 AM,AA,BOS,DCA,-14
6/1/25 12:00 AM,AA,BOS,DCA,9
6/1/25 12:00 AM,AA,BOS,DCA,202
6/1/25 12:00 AM,AA,BOS,DFW,-35
6/1/25 12:00 AM,AA,BOS,DFW,-24
6/1/25 12:00 AM,AA,BOS,DFW,-15
6/1/25 12:00 AM,AA,BOS,DFW,-7
6/1/25 12:00 AM,AA,BOS,DFW,-5
6/1/25 12:00 AM,AA,BOS,DFW,-1
6/1/25 12:00 AM,AA,BOS,DFW,0
6/1/25 12:00 AM,AA,BOS,DFW,58
6/1/25 12:00 AM,AA,BOS,LAX,-59
6/1/25 12:00 AM,AA,BOS,LAX,-49
6/1/25 12:00 AM,AA,BOS,LAX,-26
6/1/25 12:00 AM,AA,BOS,MIA,-26
6/1/25 12:00 AM,AA,BOS,MIA,-6
6/1/25 12:00 AM,AA,BOS,MIA,4
6/1/25 12:00 AM,AA,BOS,MIA,12
6/1/25 12:00 AM,AA,BOS,MIA,42
6/1/25 12:00 AM,AA,BOS,MIA,43
6/1/25 12:00 AM,AA,BOS,MIA,124
6/1/25 12:00 AM,AA,BOS,ORD,-31
6/1/25 12:00 AM,AA,BOS,ORD,-27
6/1/25 12:00 AM,AA,BOS,ORD,-24
6/1/25 12:00 AM,AA,BOS,ORD,-24
6/1/25 12:00 AM,AA,BOS,ORD,-6
6/1/25 12:00 AM,AA,BOS,ORD,1
6/1/25 12:00 AM,AA,BOS,PHL,-18
6/1/25 12:00 AM,AA,BOS,PHL,-17
6/1/25 12:00 AM,AA,BOS,PHL,-13
6/1/25 12:00 AM,AA,BOS,PHL,-7
6/1/25 12:00 AM,AA,BOS,PHL,14
6/1/25 12:00 AM,AA,BOS,PHL,23
6/1/25 12:00 AM,AA,BOS,PHL,165
6/1/25 12:00 AM,AA,BOS,PHX,-55
6/1/25 12:00 AM,AA,BOS,PHX,-4
6/1/25 12:00 AM,AA,BOS,PHX,-2
6/1/25 12:00 AM,AA,BOS,PHX,24
6/1/25 12:00 AM,AA,BUF,CLT,-13
6/1/25 12:00 AM,AA,BUF,CLT,-2
6/1/25 12:00 AM,AA,BUF,CLT,5
6/1/25 12:00 AM,AA,BUF,DFW,0
6/1/25 12:00 AM,AA,BUR,DFW,-22
6/1/25 12:00 AM,AA,BUR,DFW,-7
6/1/25 12:00 AM,AA,BWI,CLT,-25
6/1/25 12:00 AM,AA,BWI,CLT,-24
6/1/25 12:00 AM,AA,BWI,CLT,-21
6/1/25 12:00 AM,AA,BWI,CLT,77
6/1/25 12:00 AM,AA,BWI,CLT,87
6/1/25 12:00 AM,AA,BWI,CLT,114
6/1/25 12:00 AM,AA,BWI,DFW,-42
6/1/25 12:00 AM,AA,BWI,DFW,-24
6/1/25 12:00 AM,AA,BWI,DFW,0
6/1/25 12:00 AM,AA,BWI,MIA,11
6/1/25 12:00 AM,AA,BWI,MIA,36
6/1/25 12:00 AM,AA,BWI,ORD,-15
6/1/25 12:00 AM,AA,BZN,DFW,16
6/1/25 12:00 AM,AA,CAE,DFW,-10
6/1/25 12:00 AM,AA,CAE,DFW,-6
6/1/25 12:00 AM,AA,CHS,CLT,-26
6/1/25 12:00 AM,AA,CHS,CLT,-19
6/1/25 12:00 AM,AA,CHS,CLT,-14
6/1/25 12:00 AM,AA,CHS,CLT,-13
6/1/25 12:00 AM,AA,CHS,CLT,-6
6/1/25 12:00 AM,AA,CHS,CLT,8
6/1/25 12:00 AM,AA,CHS,CLT,21
6/1/25 12:00 AM,AA,CHS,DCA,148
6/1/25 12:00 AM,AA,CHS,DFW,-22
6/1/25 12:00 AM,AA,CHS,DFW,-8
6/1/25 12:00 AM,AA,CHS,DFW,7
6/1/25 12:00 AM,AA,CHS,DFW,10
6/1/25 12:00 AM,AA,CHS,MIA,-10
6/1/25 12:00 AM,AA,CHS,MIA,22
6/1/25 12:00 AM,AA,CHS,MIA,28
6/1/25 12:00 AM,AA,CHS,ORD,-2
6/1/25 12:00 AM,AA,CHS,PHL,-21
6/1/25 12:00 AM,AA,CHS,PHL,-6
6/1/25 12:00 AM,AA,CHS,PHL,2
6/1/25 12:00 AM,AA,CID,CLT,8
6/1/25 12:00 AM,AA,CID,DFW,-17
6/1/25 12:00 AM,AA,CID,DFW,-8
6/1/25 12:00 AM,AA,CLE,CLT,-23
6/1/25 12:00 AM,AA,CLE,CLT,-20
6/1/25 12:00 AM,AA,CLE,CLT,-19
6/1/25 12:00 AM,AA,CLE,CLT,-1
6/1/25 12:00 AM,AA,CLE,CLT,12
6/1/25 12:00 AM,AA,CLE,DFW,-32
6/1/25 12:00 AM,AA,CLE,DFW,-28
6/1/25 12:00 AM,AA,CLE,DFW,-6
6/1/25 12:00 AM,AA,CLE,DFW,-2
6/1/25 12:00 AM,AA,CLE,DFW,20
6/1/25 12:00 AM,AA,CLE,MIA,13
6/1/25 12:00 AM,AA,CLE,PHX,-34
6/1/25 12:00 AM,AA,CLT,ALB,-26
6/1/25 12:00 AM,AA,CLT,ALB,-13
6/1/25 12:00 AM,AA,CLT,ATL,-18
6/1/25 12:00 AM,AA,CLT,ATL,-2
6/1/25 12:00 AM,AA,CLT,AUS,-22
6/1/25 12:00 AM,AA,CLT,AUS,-20
6/1/25 12:00 AM,AA,CLT,AUS,12
6/1/25 12:00 AM,AA,CLT,AUS,18
6/1/25 12:00 AM,AA,CLT,AUS,269
6/1/25 12:00 AM,AA,CLT,AVL,20
6/1/25 12:00 AM,AA,CLT,AVL,43
6/1/25 12:00 AM,AA,CLT,BDL,-26
6/1/25 12:00 AM,AA,CLT,BDL,-16
6/1/25 12:00 AM,AA,CLT,BDL,-14
6/1/25 12:00 AM,AA,CLT,BDL,-13
6/1/25 12:00 AM,AA,CLT,BDL,-12
6/1/25 12:00 AM,AA,CLT,BDL,8
6/1/25 12:00 AM,AA,CLT,BNA,-11
6/1/25 12:00 AM,AA,CLT,BNA,-10
6/1/25 12:00 AM,AA,CLT,BNA,-5
6/1/25 12:00 AM,AA,CLT,BNA,75
6/1/25 12:00 AM,AA,CLT,BOS,-34
6/1/25 12:00 AM,AA,CLT,BOS,-22
6/1/25 12:00 AM,AA,CLT,BOS,-19
6/1/25 12:00 AM,AA,CLT,BOS,-18
6/1/25 12:00 AM,AA,CLT,BOS,-16
6/1/25 12:00 AM,AA,CLT,BOS,13
6/1/25 12:00 AM,AA,CLT,BOS,17
6/1/25 12:00 AM,AA,CLT,BOS,20
6/1/25 12:00 AM,AA,CLT,BUF,-22
6/1/25 12:00 AM,AA,CLT,BUF,27
6/1/25 12:00 AM,AA,CLT,BUF,32
6/1/25 12:00 AM,AA,CLT,BWI,-17
6/1/25 12:00 AM,AA,CLT,BWI,-12
6/1/25 12:00 AM,AA,CLT,BWI,7
6/1/25 12:00 AM,AA,CLT,BWI,7
6/1/25 12:00 AM,AA,CLT,BWI,56
6/1/25 12:00 AM,AA,CLT,BWI,128
6/1/25 12:00 AM,AA,CLT,CHS,-14
6/1/25 12:00 AM,AA,CLT,CHS,-13
6/1/25 12:00 AM,AA,CLT,CHS,-10
6/1/25 12:00 AM,AA,CLT,CHS,-5
6/1/25 12:00 AM,AA,CLT,CHS,3
6/1/25 12:00 AM,AA,CLT,CHS,4
6/1/25 12:00 AM,AA,CLT,CHS,8
6/1/25 12:00 AM,AA,CLT,CID,-14
6/1/25 12:00 AM,AA,CLT,CLE,-16
6/1/25 12:00 AM,AA,CLT,CLE,-8
6/1/25 12:00 AM,AA,CLT,CLE,-7
6/1/25 12:00 AM,AA,CLT,CLE,-2
6/1/25 12:00 AM,AA,CLT,CLE,32
6/1/25 12:00 AM,AA,CLT,CMH,-1
6/1/25 12:00 AM,AA,CLT,CMH,0
6/1/25 12:00 AM,AA,CLT,CMH,12
6/1/25 12:00 AM,AA,CLT,CVG,-17
6/1/25 12:00 AM,AA,CLT,CVG,-15
6/1/25 12:00 AM,AA,CLT,CVG,13
6/1/25 12:00 AM,AA,CLT,DCA,-15
6/1/25 12:00 AM,AA,CLT,DCA,-6
6/1/25 12:00 AM,AA,CLT,DCA,-3
6/1/25 12:00 AM,AA,CLT,DCA,1
6/1/25 12:00 AM,AA,CLT,DCA,13
6/1/25 12:00 AM,AA,CLT,DCA,25
6/1/25 12:00 AM,AA,CLT,DCA,29
6/1/25 12:00 AM,AA,CLT,DEN,-24
6/1/25 12:00 AM,AA,CLT,DEN,-19
6/1/25 12:00 AM,AA,CLT,DEN,19
6/1/25 12:00 AM,AA,CLT,DEN,49
6/1/25 12:00 AM,AA,CLT,DEN,71
6/1/25 12:00 AM,AA,CLT,DFW,-29
6/1/25 12:00 AM,AA,CLT,DFW,-21
6/1/25 12:00 AM,AA,CLT,DFW,-20
6/1/25 12:00 AM,AA,CLT,DFW,-16
6/1/25 12:00 AM,AA,CLT,DFW,-12
6/1/25 12:00 AM,AA,CLT,DFW,-3
6/1/25 12:00 AM,AA,CLT,DFW,4
6/1/25 12:00 AM,AA,CLT,DFW,8
6/1/25 12:00 AM,AA,CLT,DFW,9
6/1/25 12:00 AM,AA,CLT,DFW,14
6/1/25 12:00 AM,AA,CLT,DSM,-17
6/1/25 12:00 AM,AA,CLT,DSM,-10
6/1/25 12:00 AM,AA,CLT,DTW,-22
6/1/25 12:00 AM,AA,CLT,DTW,-13
6/1/25 12:00 AM,AA,CLT,DTW,-10
6/1/25 12:00 AM,AA,CLT,DTW,-9
6/1/25 12:00 AM,AA,CLT,DTW,8
6/1/25 12:00 AM,AA,CLT,DTW,23
6/1/25 12:00 AM,AA,CLT,ECP,-12
6/1/25 12:00 AM,AA,CLT,EWR,-17
6/1/25 12:00 AM,AA,CLT,EWR,-8
6/1/25 12:00 AM,AA,CLT,EWR,0
6/1/25 12:00 AM,AA,CLT,EWR,58
6/1/25 12:00 AM,AA,CLT,EWR,71
6/1/25 12:00 AM,AA,CLT,EYW,-8
6/1/25 12:00 AM,AA,CLT,EYW,5
6/1/25 12:00 AM,AA,CLT,EYW,40
6/1/25 12:00 AM,AA,CLT,FLL,-26
6/1/25 12:00 AM,AA,CLT,FLL,-12
6/1/25 12:00 AM,AA,CLT,FLL,-8
6/1/25 12:00 AM,AA,CLT,FLL,-6
6/1/25 12:00 AM,AA,CLT,FLL,-5
6/1/25 12:00 AM,AA,CLT,FLL,-1
6/1/25 12:00 AM,AA,CLT,FLL,16
6/1/25 12:00 AM,AA,CLT,FLL,93
6/1/25 12:00 AM,AA,CLT,GRR,1
6/1/25 12:00 AM,AA,CLT,GRR,7
6/1/25 12:00 AM,AA,CLT,GRR,20
6/1/25 12:00 AM,AA,CLT,GSO,-8
6/1/25 12:00 AM,AA,CLT,GSO,7
6/1/25 12:00 AM,AA,CLT,GSP,-16
6/1/25 12:00 AM,AA,CLT,IAH,-25
6/1/25 12:00 AM,AA,CLT,IAH,-20
6/1/25 12:00 AM,AA,CLT,IAH,-6
6/1/25 12:00 AM,AA,CLT,IAH,-3
6/1/25 12:00 AM,AA,CLT,IAH,48
6/1/25 12:00 AM,AA,CLT,ILM,-14
6/1/25 12:00 AM,AA,CLT,ILM,-13
6/1/25 12:00 AM,AA,CLT,ILM,-3
6/1/25 12:00 AM,AA,CLT,ILM,63
6/1/25 12:00 AM,AA,CLT,ILM,107
6/1/25 12:00 AM,AA,CLT,IND,-15
6/1/25 12:00 AM,AA,CLT,IND,-8
6/1/25 12:00 AM,AA,CLT,IND,-1
6/1/25 12:00 AM,AA,CLT,IND,8
6/1/25 12:00 AM,AA,CLT,IND,9
6/1/25 12:00 AM,AA,CLT,IND,80
6/1/25 12:00 AM,AA,CLT,JAX,-17
6/1/25 12:00 AM,AA,CLT,JAX,-14
6/1/25 12:00 AM,AA,CLT,JAX,-14
6/1/25 12:00 AM,AA,CLT,JAX,-5
6/1/25 12:00 AM,AA,CLT,JAX,6
6/1/25 12:00 AM,AA,CLT,JAX,8
6/1/25 12:00 AM,AA,CLT,JAX,45
6/1/25 12:00 AM,AA,CLT,JFK,-10
6/1/25 12:00 AM,AA,CLT,JFK,0
6/1/25 12:00 AM,AA,CLT,JFK,34
6/1/25 12:00 AM,AA,CLT,JFK,103
6/1/25 12:00 AM,AA,CLT,LAS,-42
6/1/25 12:00 AM,AA,CLT,LAS,-39
6/1/25 12:00 AM,AA,CLT,LAS,-31
6/1/25 12:00 AM,AA,CLT,LAS,-26
6/1/25 12:00 AM,AA,CLT,LAS,-24
6/1/25 12:00 AM,AA,CLT,LAS,-23
6/1/25 12:00 AM,AA,CLT,LAS,39
6/1/25 12:00 AM,AA,CLT,LAX,-35
6/1/25 12:00 AM,AA,CLT,LAX,-34
6/1/25 12:00 AM,AA,CLT,LAX,-32
6/1/25 12:00 AM,AA,CLT,LAX,-24
6/1/25 12:00 AM,AA,CLT,LAX,-20
6/1/25 12:00 AM,AA,CLT,LAX,-9
6/1/25 12:00 AM,AA,CLT,LAX,23
6/1/25 12:00 AM,AA,CLT,LGA,-16
6/1/25 12:00 AM,AA,CLT,LGA,-15
6/1/25 12:00 AM,AA,CLT,LGA,-6
6/1/25 12:00 AM,AA,CLT,LGA,-4
6/1/25 12:00 AM,AA,CLT,LGA,0
6/1/25 12:00 AM,AA,CLT,LGA,8
6/1/25 12:00 AM,AA,CLT,LGA,19
6/1/25 12:00 AM,AA,CLT,LGA,66
6/1/25 12:00 AM,AA,CLT,LGA,95
6/1/25 12:00 AM,AA,CLT,MCI,-5
6/1/25 12:00 AM,AA,CLT,MCI,-4
6/1/25 12:00 AM,AA,CLT,MCI,10
6/1/25 12:00 AM,AA,CLT,MCI,31
6/1/25 12:00 AM,AA,CLT,MCO,-10
6/1/25 12:00 AM,AA,CLT,MCO,-8
6/1/25 12:00 AM,AA,CLT,MCO,-7
6/1/25 12:00 AM,AA,CLT,MCO,-5
6/1/25 12:00 AM,AA,CLT,MCO,-3
6/1/25 12:00 AM,AA,CLT,MCO,-1
6/1/25 12:00 AM,AA,CLT,MCO,-1
6/1/25 12:00 AM,AA,CLT,MCO,2
6/1/25 12:00 AM,AA,CLT,MCO,6
6/1/25 12:00 AM,AA,CLT,MCO,8
6/1/25 12:00 AM,AA,CLT,MCO,19
6/1/25 12:00 AM,AA,CLT,MCO,238
6/1/25 12:00 AM,AA,CLT,MDT,53
6/1/25 12:00 AM,AA,CLT,MEM,-19
6/1/25 12:00 AM,AA,CLT,MEM,0
6/1/25 12:00 AM,AA,CLT,MEM,6
6/1/25 12:00 AM,AA,CLT,MEM,14
6/1/25 12:00 AM,AA,CLT,MIA,-17
6/1/25 12:00 AM,AA,CLT,MIA,-8
6/1/25 12:00 AM,AA,CLT,MIA,6
6/1/25 12:00 AM,AA,CLT,MIA,7
6/1/25 12:00 AM,AA,CLT,MIA,13
6/1/25 12:00 AM,AA,CLT,MIA,15
6/1/25 12:00 AM,AA,CLT,MIA,24
6/1/25 12:00 AM,AA,CLT,MIA,68
6/1/25 12:00 AM,AA,CLT,MKE,16
6/1/25 12:00 AM,AA,CLT,MKE,24
6/1/25 12:00 AM,AA,CLT,MSN,-16
6/1/25 12:00 AM,AA,CLT,MSN,-7
6/1/25 12:00 AM,AA,CLT,MSP,-23
6/1/25 12:00 AM,AA,CLT,MSP,-7
6/1/25 12:00 AM,AA,CLT,MSP,-6
6/1/25 12:00 AM,AA,CLT,MSP,0
6/1/25 12:00 AM,AA,CLT,MSY,-22
6/1/25 12:00 AM,AA,CLT,MSY,-18
6/1/25 12:00 AM,AA,CLT,MSY,-14
6/1/25 12:00 AM,AA,CLT,MSY,0
6/1/25 12:00 AM,AA,CLT,MSY,8
6/1/25 12:00 AM,AA,CLT,MSY,19
6/1/25 12:00 AM,AA,CLT,MYR,-15
6/1/25 12:00 AM,AA,CLT,MYR,-14
6/1/25 12:00 AM,AA,CLT,MYR,-11
6/1/25 12:00 AM,AA,CLT,MYR,-6
6/1/25 12:00 AM,AA,CLT,OKC,-21
6/1/25 12:00 AM,AA,CLT,OMA,-26
6/1/25 12:00 AM,AA,CLT,OMA,63
6/1/25 12:00 AM,AA,CLT,ONT,-25
6/1/25 12:00 AM,AA,CLT,ORD,-23
6/1/25 12:00 AM,AA,CLT,ORD,-15
6/1/25 12:00 AM,AA,CLT,ORD,-4
6/1/25 12:00 AM,AA,CLT,ORD,-4
6/1/25 12:00 AM,AA,CLT,ORD,2
6/1/25 12:00 AM,AA,CLT,ORD,6
6/1/25 12:00 AM,AA,CLT,ORD,40
6/1/25 12:00 AM,AA,CLT,ORD,63
6/1/25 12:00 AM,AA,CLT,ORF,-18
6/1/25 12:00 AM,AA,CLT,ORF,-13
6/1/25 12:00 AM,AA,CLT,ORF,7
6/1/25 12:00 AM,AA,CLT,ORF,81
6/1/25 12:00 AM,AA,CLT,PBI,-22
6/1/25 12:00 AM,AA,CLT,PBI,-7
6/1/25 12:00 AM,AA,CLT,PBI,-6
6/1/25 12:00 AM,AA,CLT,PBI,20
6/1/25 12:00 AM,AA,CLT,PBI,32
6/1/25 12:00 AM,AA,CLT,PBI,109
6/1/25 12:00 AM,AA,CLT,PDX,50
6/1/25 12:00 AM,AA,CLT,PHL,-27
6/1/25 12:00 AM,AA,CLT,PHL,-19
6/1/25 12:00 AM,AA,CLT,PHL,-14
6/1/25 12:00 AM,AA,CLT,PHL,-13
6/1/25 12:00 AM,AA,CLT,PHL,-11
6/1/25 12:00 AM,AA,CLT,PHL,-11
6/1/25 12:00 AM,AA,CLT,PHL,-10
6/1/25 12:00 AM,AA,CLT,PHL,-4
6/1/25 12:00 AM,AA,CLT,PHL,43
6/1/25 12:00 AM,AA,CLT,PHX,-29
6/1/25 12:00 AM,AA,CLT,PHX,-24
6/1/25 12:00 AM,AA,CLT,PHX,-23
6/1/25 12:00 AM,AA,CLT,PHX,-12
6/1/25 12:00 AM,AA,CLT,PHX,-8
6/1/25 12:00 AM,AA,CLT,PHX,7
6/1/25 12:00 AM,AA,CLT,PHX,21
6/1/25 12:00 AM,AA,CLT,PHX,24
6/1/25 12:00 AM,AA,CLT,PHX,69
6/1/25 12:00 AM,AA,CLT,PIT,-29
6/1/25 12:00 AM,AA,CLT,PIT,-19
6/1/25 12:00 AM,AA,CLT,PIT,-15
6/1/25 12:00 AM,AA,CLT,PIT,10
6/1/25 12:00 AM,AA,CLT,PIT,31
6/1/25 12:00 AM,AA,CLT,PIT,32
6/1/25 12:00 AM,AA,CLT,PNS,-13
6/1/25 12:00 AM,AA,CLT,PNS,6
6/1/25 12:00 AM,AA,CLT,PNS,65
6/1/25 12:00 AM,AA,CLT,PVD,-19
6/1/25 12:00 AM,AA,CLT,PVD,-12
6/1/25 12:00 AM,AA,CLT,PVD,-11
6/1/25 12:00 AM,AA,CLT,PVD,-10
6/1/25 12:00 AM,AA,CLT,PWM,-9
6/1/25 12:00 AM,AA,CLT,RDU,-15
6/1/25 12:00 AM,AA,CLT,RDU,-8
6/1/25 12:00 AM,AA,CLT,RDU,-4
6/1/25 12:00 AM,AA,CLT,RDU,2
6/1/25 12:00 AM,AA,CLT,RDU,3
6/1/25 12:00 AM,AA,CLT,RDU,3
6/1/25 12:00 AM,AA,CLT,RDU,5
6/1/25 12:00 AM,AA,CLT,RDU,9
6/1/25 12:00 AM,AA,CLT,RDU,55
6/1/25 12:00 AM,AA,CLT,RDU,96
6/1/25 12:00 AM,AA,CLT,RIC,-17
6/1/25 12:00 AM,AA,CLT,RIC,-10
6/1/25 12:00 AM,AA,CLT,RIC,-2
6/1/25 12:00 AM,AA,CLT,RIC,4
6/1/25 12:00 AM,AA,CLT,RIC,17
6/1/25 12:00 AM,AA,CLT,RIC,22
6/1/25 12:00 AM,AA,CLT,RIC,57
6/1/25 12:00 AM,AA,CLT,RIC,78
6/1/25 12:00 AM,AA,CLT,ROC,-8
6/1/25 12:00 AM,AA,CLT,ROC,8
6/1/25 12:00 AM,AA,CLT,RSW,-15
6/1/25 12:00 AM,AA,CLT,RSW,-15
6/1/25 12:00 AM,AA,CLT,RSW,-10
6/1/25 12:00 AM,AA,CLT,RSW,-6
6/1/25 12:00 AM,AA,CLT,RSW,33
6/1/25 12:00 AM,AA,CLT,RSW,38
6/1/25 12:00 AM,AA,CLT,SAN,-18
6/1/25 12:00 AM,AA,CLT,SAN,-18
6/1/25 12:00 AM,AA,CLT,SAN,-7
6/1/25 12:00 AM,AA,CLT,SAN,-5
6/1/25 12:00 AM,AA,CLT,SAN,7
6/1/25 12:00 AM,AA,CLT,SAT,-27
6/1/25 12:00 AM,AA,CLT,SAT,-12
6/1/25 12:00 AM,AA,CLT,SAT,5
6/1/25 12:00 AM,AA,CLT,SAT,51
6/1/25 12:00 AM,AA,CLT,SAV,-13
6/1/25 12:00 AM,AA,CLT,SAV,27
6/1/25 12:00 AM,AA,CLT,SDF,-19
6/1/25 12:00 AM,AA,CLT,SDF,-12
6/1/25 12:00 AM,AA,CLT,SDF,41
6/1/25 12:00 AM,AA,CLT,SEA,-37
6/1/25 12:00 AM,AA,CLT,SEA,-4
6/1/25 12:00 AM,AA,CLT,SEA,14
