ID,GENDER,AGE,EDUC_LEV,MAR_STATUS,HH_SIZE,RATIO
130505,male,59,HS graduate,never married,1,0.42
130506,female,22,some college,never married,1,2.43
130508,female,69,HS graduate,married or lives with partner,3,0.73
130509,female,51,some college,married or lives with partner,4,5
130512,female,80,HS graduate,widow or divorced or separated,1,0.7
130515,female,54,some college,married or lives with partner,3,1.64
130516,female,30,some college,married or lives with partner,3,0.65
130517,male,30,some college,widow or divorced or separated,3,3.02
130519,female,80,HS graduate,married or lives with partner,2,
130520,male,29,college graduate,married or lives with partner,2,5
130522,male,58,less than 9th grade,widow or divorced or separated,1,1.46
130523,female,61,college graduate,married or lives with partner,2,5
130525,male,70,college graduate,married or lives with partner,3,
130527,male,79,college graduate,married or lives with partner,2,4.31
130530,female,69,college graduate,widow or divorced or separated,1,1.23
130533,male,80,some college,widow or divorced or separated,4,4.71
130537,male,62,some college,married or lives with partner,3,3.58
130538,male,63,college graduate,married or lives with partner,2,5
130540,female,31,9 to 11th grade,never married,2,0.86
130541,female,30,college graduate,married or lives with partner,3,
130544,female,46,college graduate,widow or divorced or separated,2,4.02
130545,male,32,HS graduate,never married,1,
130546,male,24,9 to 11th grade,never married,4,
130547,male,78,college graduate,married or lives with partner,2,5
130549,male,43,less than 9th grade,never married,3,2.33
130550,female,66,college graduate,married or lives with partner,2,5
130552,female,54,9 to 11th grade,never married,1,0.92
130553,female,28,some college,married or lives with partner,4,5
130554,female,77,HS graduate,widow or divorced or separated,1,
130555,male,64,college graduate,married or lives with partner,4,5
130557,male,62,some college,widow or divorced or separated,1,3.57
130558,male,69,some college,widow or divorced or separated,1,0.92
130559,male,66,college graduate,married or lives with partner,2,5
130560,female,41,some college,married or lives with partner,4,2.52
130562,female,63,less than 9th grade,married or lives with partner,2,0.51
130563,male,78,college graduate,married or lives with partner,2,4.62
130566,male,66,college graduate,never married,1,0.07
130567,female,39,some college,married or lives with partner,3,1.82
130568,female,80,college graduate,widow or divorced or separated,1,1.94
130569,female,47,9 to 11th grade,married or lives with partner,4,1.41
130570,male,56,9 to 11th grade,married or lives with partner,2,1.2
130571,female,77,some college,married or lives with partner,2,
130572,male,24,HS graduate,married or lives with partner,1,1.79
130573,female,65,9 to 11th grade,widow or divorced or separated,6,3.97
130576,male,50,some college,never married,1,0.18
130577,female,61,9 to 11th grade,never married,1,1.66
130578,female,51,HS graduate,widow or divorced or separated,1,3.24
130579,male,80,college graduate,married or lives with partner,2,5
130580,male,51,9 to 11th grade,widow or divorced or separated,2,
130582,male,32,college graduate,married or lives with partner,4,2.16
130585,male,60,college graduate,widow or divorced or separated,3,2.61
130588,female,32,college graduate,married or lives with partner,3,2.61
130589,male,58,HS graduate,widow or divorced or separated,1,0.69
130590,female,51,college graduate,married or lives with partner,5,4.08
130592,female,62,college graduate,married or lives with partner,2,5
130593,male,79,9 to 11th grade,never married,2,2.41
130595,male,25,HS graduate,never married,1,
130596,female,66,some college,married or lives with partner,4,
130597,female,57,some college,widow or divorced or separated,1,2.17
130598,male,60,HS graduate,widow or divorced or separated,3,5
130599,female,54,less than 9th grade,married or lives with partner,3,2.17
130600,male,42,9 to 11th grade,never married,4,0.57
130601,female,56,HS graduate,married or lives with partner,2,4.54
130603,male,75,9 to 11th grade,married or lives with partner,4,4.17
130604,female,61,some college,widow or divorced or separated,6,2.31
130606,female,29,HS graduate,married or lives with partner,4,4.68
130607,female,36,some college,married or lives with partner,5,0.61
130609,female,40,college graduate,married or lives with partner,2,
130610,male,22,college graduate,never married,1,
130611,female,70,college graduate,married or lives with partner,2,
130612,male,52,college graduate,widow or divorced or separated,2,2.18
130616,male,43,college graduate,never married,1,5
130617,female,36,college graduate,married or lives with partner,2,5
130618,male,48,college graduate,married or lives with partner,4,5
130619,male,27,HS graduate,never married,3,0.87
130620,male,76,some college,never married,1,1.84
130621,male,68,college graduate,married or lives with partner,2,5
130623,female,46,college graduate,married or lives with partner,5,3.7
130626,female,69,some college,married or lives with partner,2,3.3
130627,male,73,HS graduate,married or lives with partner,2,3
130628,male,22,some college,never married,4,2.52
130629,male,73,college graduate,married or lives with partner,2,5
130631,male,29,HS graduate,married or lives with partner,2,
130633,male,47,HS graduate,married or lives with partner,5,2.85
130634,female,51,some college,married or lives with partner,3,2.82
130636,female,57,some college,never married,1,
130637,male,61,some college,widow or divorced or separated,1,5
130640,female,31,some college,never married,7,0.23
130642,male,43,college graduate,married or lives with partner,7,5
130643,male,73,some college,married or lives with partner,3,
130644,female,30,college graduate,,3,3.02
130645,female,47,some college,never married,1,0.39
130646,female,79,college graduate,never married,1,
130647,male,65,some college,married or lives with partner,2,1.04
130649,female,40,9 to 11th grade,married or lives with partner,4,0.85
130651,female,80,HS graduate,widow or divorced or separated,1,3.68
130652,male,34,some college,married or lives with partner,7,1.97
130654,female,72,some college,widow or divorced or separated,6,2.29
130655,male,69,college graduate,married or lives with partner,2,5
130656,female,64,less than 9th grade,widow or divorced or separated,1,1.01
130658,male,69,HS graduate,married or lives with partner,4,0.77
130659,male,55,college graduate,married or lives with partner,2,
130662,female,52,HS graduate,married or lives with partner,3,0.85
130663,female,76,college graduate,married or lives with partner,2,2.73
130664,male,37,HS graduate,married or lives with partner,3,0.89
130665,female,55,some college,widow or divorced or separated,1,0.88
130666,male,57,HS graduate,married or lives with partner,2,3.28
130667,male,36,some college,married or lives with partner,4,
130668,female,34,some college,married or lives with partner,3,1.35
130669,female,80,HS graduate,widow or divorced or separated,3,5
130670,female,70,some college,married or lives with partner,3,1.61
130671,female,25,some college,married or lives with partner,2,1.84
130674,female,68,some college,never married,2,2.21
130675,female,67,some college,never married,1,5
130676,female,25,college graduate,never married,5,1.37
130678,male,45,college graduate,married or lives with partner,4,
130681,female,37,college graduate,never married,2,
130683,female,62,some college,married or lives with partner,2,5
130686,male,58,9 to 11th grade,never married,1,1.4
130687,male,73,some college,married or lives with partner,5,2.13
130688,female,72,college graduate,married or lives with partner,3,2.17
130690,male,61,HS graduate,married or lives with partner,3,
130691,female,32,college graduate,married or lives with partner,4,5
130692,female,44,some college,married or lives with partner,2,3.18
130694,male,27,9 to 11th grade,never married,2,1.15
130701,female,33,college graduate,widow or divorced or separated,1,3.09
130703,female,51,9 to 11th grade,widow or divorced or separated,2,1.09
130704,male,66,HS graduate,never married,1,0.88
130705,male,64,college graduate,married or lives with partner,2,5
130707,female,22,college graduate,never married,2,4.37
130708,female,58,some college,married or lives with partner,2,5
130710,female,77,some college,widow or divorced or separated,1,2.87
130711,female,28,HS graduate,married or lives with partner,2,1.44
130712,male,46,HS graduate,widow or divorced or separated,2,5.40E-79
130713,male,69,college graduate,widow or divorced or separated,1,4.42
130715,male,48,HS graduate,widow or divorced or separated,2,3.88
130717,female,68,some college,widow or divorced or separated,1,2.13
130718,male,65,9 to 11th grade,married or lives with partner,2,1.51
130719,male,54,HS graduate,widow or divorced or separated,3,
130720,female,46,some college,married or lives with partner,3,0.79
130722,female,62,some college,married or lives with partner,2,1.75
130723,male,76,college graduate,widow or divorced or separated,5,1.85
130724,female,68,college graduate,married or lives with partner,2,5
130726,female,29,HS graduate,never married,1,
130730,female,76,college graduate,married or lives with partner,2,5
130733,female,68,college graduate,widow or divorced or separated,1,2.57
130734,male,40,some college,never married,1,2.58
130738,male,80,HS graduate,married or lives with partner,2,
130739,male,64,9 to 11th grade,married or lives with partner,2,1.26
130741,female,29,college graduate,married or lives with partner,3,2.82
130742,female,62,college graduate,widow or divorced or separated,3,4.57
130743,male,80,some college,married or lives with partner,2,
130744,female,33,college graduate,married or lives with partner,3,1.81
130745,female,38,some college,married or lives with partner,5,1.85
130746,female,45,HS graduate,married or lives with partner,5,0.86
130747,male,50,college graduate,married or lives with partner,3,
130748,male,68,college graduate,married or lives with partner,2,4.31
130749,female,34,college graduate,married or lives with partner,4,5
130750,female,80,HS graduate,never married,1,1.16
130752,female,68,less than 9th grade,widow or divorced or separated,1,0.18
130753,female,57,some college,married or lives with partner,1,5.40E-79
130754,male,62,9 to 11th grade,widow or divorced or separated,2,5.40E-79
130759,male,65,some college,widow or divorced or separated,1,1.03
130760,male,36,college graduate,married or lives with partner,4,4.32
130761,female,43,some college,never married,2,1.91
130762,female,28,some college,married or lives with partner,2,
130764,female,22,some college,never married,1,0.34
130766,male,80,less than 9th grade,widow or divorced or separated,1,
130767,female,70,college graduate,married or lives with partner,4,1.62
130768,female,71,some college,married or lives with partner,2,1.23
130769,male,22,some college,married or lives with partner,2,1.48
130771,male,57,HS graduate,widow or divorced or separated,4,1.61
130774,female,50,some college,married or lives with partner,2,0.23
130775,male,67,college graduate,married or lives with partner,3,5
130776,female,40,HS graduate,never married,4,0.75
130777,male,30,HS graduate,never married,1,5.40E-79
130780,female,58,9 to 11th grade,married or lives with partner,2,1.39
130781,male,66,some college,married or lives with partner,2,1.84
130782,male,43,college graduate,,1,5
130785,male,33,HS graduate,married or lives with partner,5,1.69
130786,female,73,college graduate,married or lives with partner,2,
130787,female,80,college graduate,widow or divorced or separated,1,2.47
130788,male,39,college graduate,never married,1,5
130791,female,52,college graduate,widow or divorced or separated,3,3.22
130793,male,71,HS graduate,widow or divorced or separated,1,
130796,male,47,HS graduate,married or lives with partner,2,3.45
130797,male,73,college graduate,married or lives with partner,2,5
130799,female,47,HS graduate,married or lives with partner,4,
130800,female,28,college graduate,never married,3,
130801,male,56,HS graduate,married or lives with partner,1,0.88
130802,female,63,college graduate,married or lives with partner,2,4.37
130804,male,52,less than 9th grade,never married,2,0.92
130805,female,35,HS graduate,widow or divorced or separated,5,0.65
130806,female,77,9 to 11th grade,widow or divorced or separated,2,3.11
130807,female,60,HS graduate,married or lives with partner,2,0.66
130809,male,80,some college,married or lives with partner,2,1.16
130810,male,69,some college,married or lives with partner,2,1.44
130811,male,59,college graduate,married or lives with partner,3,0.85
130814,female,22,college graduate,never married,5,4.62
130815,male,51,college graduate,never married,1,2.58
130818,female,36,HS graduate,never married,1,2.8
130821,female,71,HS graduate,married or lives with partner,2,5
130826,female,79,some college,married or lives with partner,2,3.3
130827,male,33,some college,married or lives with partner,2,5
130828,female,22,9 to 11th grade,never married,3,5.40E-79
130829,female,73,9 to 11th grade,married or lives with partner,2,3.55
130830,male,62,college graduate,married or lives with partner,3,4.23
130832,female,63,HS graduate,widow or divorced or separated,1,2.25
130833,female,42,college graduate,married or lives with partner,4,3.68
130834,male,30,some college,married or lives with partner,2,
130835,female,45,college graduate,never married,1,5
130836,male,61,HS graduate,married or lives with partner,4,1.13
130837,female,44,some college,married or lives with partner,4,2
130838,male,60,some college,married or lives with partner,2,5
130839,male,56,HS graduate,never married,1,0.88
130841,female,79,some college,widow or divorced or separated,1,1.85
130842,male,27,some college,married or lives with partner,3,4.83
130843,male,46,some college,married or lives with partner,4,1.1
130844,female,43,some college,married or lives with partner,3,5
130845,male,72,college graduate,married or lives with partner,2,5
130847,male,74,HS graduate,widow or divorced or separated,1,1.69
130848,female,33,some college,married or lives with partner,2,
130854,female,80,less than 9th grade,married or lives with partner,2,
130856,male,80,HS graduate,married or lives with partner,2,3.28
130860,male,50,college graduate,married or lives with partner,5,5
130861,female,78,college graduate,widow or divorced or separated,1,4.92
130863,male,80,some college,widow or divorced or separated,1,5
130864,male,52,less than 9th grade,widow or divorced or separated,1,
130865,female,65,college graduate,married or lives with partner,2,3.3
130867,female,49,HS graduate,married or lives with partner,4,0.94
130868,male,23,some college,never married,1,2.94
130870,female,80,college graduate,widow or divorced or separated,1,
130871,female,65,some college,widow or divorced or separated,3,5
130872,female,57,9 to 11th grade,widow or divorced or separated,3,
130875,male,71,some college,married or lives with partner,2,2.54
130878,female,39,some college,married or lives with partner,4,2.88
130879,female,30,HS graduate,married or lives with partner,6,1.75
130880,male,67,some college,married or lives with partner,2,3.82
130881,female,46,college graduate,married or lives with partner,3,5
130882,male,60,some college,married or lives with partner,4,3.69
130883,female,40,9 to 11th grade,married or lives with partner,4,2.5
130884,female,64,college graduate,married or lives with partner,2,5
130885,male,64,college graduate,married or lives with partner,2,5
130890,male,28,HS graduate,married or lives with partner,4,2.15
130892,female,70,college graduate,married or lives with partner,2,4.69
130893,female,46,some college,widow or divorced or separated,7,1.16
130895,female,34,HS graduate,married or lives with partner,3,1.12
130897,male,29,HS graduate,never married,2,
130899,female,51,college graduate,married or lives with partner,3,5
130900,female,49,college graduate,married or lives with partner,4,4.68
130901,female,79,less than 9th grade,married or lives with partner,2,1.64
130904,male,28,college graduate,never married,3,5
130907,female,80,HS graduate,never married,2,1.11
130908,male,57,some college,widow or divorced or separated,1,2.21
130909,female,59,college graduate,married or lives with partner,4,3.42
130910,male,32,some college,married or lives with partner,7,0.72
130911,female,67,college graduate,married or lives with partner,2,2.81
130912,female,43,HS graduate,never married,5,0.55
130913,male,37,college graduate,married or lives with partner,3,5
130914,female,40,HS graduate,married or lives with partner,1,0.04
130915,male,31,college graduate,married or lives with partner,2,5
130917,male,80,9 to 11th grade,married or lives with partner,3,
130918,male,44,college graduate,married or lives with partner,4,5
130920,female,52,HS graduate,never married,2,2.19
130921,male,37,some college,never married,1,0.41
130922,female,44,college graduate,married or lives with partner,4,5
130923,female,77,some college,widow or divorced or separated,1,
130924,female,41,college graduate,married or lives with partner,4,3.06
130926,female,66,college graduate,married or lives with partner,2,5
130930,male,62,some college,married or lives with partner,4,1.48
130931,male,61,some college,married or lives with partner,4,2.07
130932,male,49,some college,married or lives with partner,7,0.27
130933,male,23,9 to 11th grade,never married,3,0.58
130934,male,37,some college,married or lives with partner,5,2.17
130935,male,32,HS graduate,never married,1,2.21
130936,female,63,some college,widow or divorced or separated,1,4.05
130938,male,80,9 to 11th grade,widow or divorced or separated,2,0.96
130939,female,33,some college,never married,4,
130940,female,48,college graduate,married or lives with partner,2,
130941,female,45,college graduate,married or lives with partner,4,2.34
130942,male,65,HS graduate,widow or divorced or separated,4,
130943,female,70,some college,married or lives with partner,2,1.69
130944,female,30,some college,never married,3,1.09
130945,female,80,less than 9th grade,widow or divorced or separated,2,
130946,female,30,college graduate,married or lives with partner,2,5
130947,female,66,less than 9th grade,widow or divorced or separated,6,3.23
130948,female,80,less than 9th grade,widow or divorced or separated,1,0.43
130950,female,60,HS graduate,married or lives with partner,4,0.13
130951,female,27,college graduate,never married,3,5
130952,male,32,some college,never married,4,5
130953,female,80,some college,widow or divorced or separated,1,
130956,male,43,some college,married or lives with partner,5,2.16
130960,female,69,college graduate,married or lives with partner,2,3.3
130961,male,29,college graduate,married or lives with partner,2,5
130964,female,58,college graduate,widow or divorced or separated,1,5
130965,male,70,some college,married or lives with partner,2,4.37
130966,female,51,college graduate,never married,1,5
130967,female,32,HS graduate,married or lives with partner,4,
130968,female,35,college graduate,married or lives with partner,2,2.38
130970,male,76,some college,married or lives with partner,2,3.28
130972,female,37,some college,widow or divorced or separated,3,1.39
130974,male,43,less than 9th grade,never married,1,
130975,male,34,college graduate,widow or divorced or separated,1,
130977,male,59,HS graduate,widow or divorced or separated,1,0.03
130978,male,75,HS graduate,married or lives with partner,2,2.75
130980,male,71,9 to 11th grade,never married,1,0.37
130981,female,51,some college,married or lives with partner,2,0.96
130982,female,71,HS graduate,married or lives with partner,2,
130983,female,50,college graduate,married or lives with partner,5,5
130984,male,35,college graduate,married or lives with partner,4,5
130985,male,23,college graduate,never married,1,2.74
130986,male,62,HS graduate,married or lives with partner,5,5
130992,male,28,some college,widow or divorced or separated,1,2.47
130994,female,60,less than 9th grade,married or lives with partner,3,
130995,female,33,HS graduate,married or lives with partner,4,2.43
130996,female,59,some college,never married,1,2.8
131000,female,52,some college,widow or divorced or separated,5,2.28
131001,female,23,some college,married or lives with partner,2,1.53
131002,female,63,college graduate,married or lives with partner,2,5
131003,male,65,college graduate,widow or divorced or separated,2,
131004,male,25,college graduate,never married,1,5
131005,male,64,9 to 11th grade,married or lives with partner,4,1.94
131006,female,34,college graduate,widow or divorced or separated,1,4.42
131007,female,67,some college,married or lives with partner,3,4.55
131010,female,73,HS graduate,married or lives with partner,2,2.32
131011,female,63,college graduate,married or lives with partner,2,1.8
131012,male,58,college graduate,married or lives with partner,3,5
131013,male,64,some college,never married,2,1.58
131014,male,73,some college,widow or divorced or separated,1,3.29
131016,male,37,9 to 11th grade,never married,2,0.96
131017,female,36,college graduate,married or lives with partner,3,5
131019,female,46,9 to 11th grade,widow or divorced or separated,4,
131020,male,61,less than 9th grade,never married,2,0.74
131021,male,80,some college,married or lives with partner,3,3.26
131023,female,66,college graduate,married or lives with partner,2,2.59
131024,male,63,HS graduate,married or lives with partner,2,3.82
131025,female,29,HS graduate,widow or divorced or separated,7,1.07
131026,female,71,HS graduate,married or lives with partner,3,2.73
131027,female,41,some college,married or lives with partner,5,
131028,female,64,HS graduate,married or lives with partner,2,3.8
131030,male,35,9 to 11th grade,never married,1,1.51
131031,female,25,college graduate,married or lives with partner,3,
131033,female,63,HS graduate,married or lives with partner,2,3.3
131034,female,31,HS graduate,never married,4,
131036,female,46,9 to 11th grade,married or lives with partner,6,1.55
131037,female,26,college graduate,married or lives with partner,3,3.7
131038,female,40,some college,widow or divorced or separated,5,1.05
131039,male,37,some college,married or lives with partner,5,2.93
131041,male,80,college graduate,widow or divorced or separated,2,2.62
131042,female,60,HS graduate,widow or divorced or separated,1,1.25
131044,female,64,college graduate,married or lives with partner,2,5
131045,male,66,college graduate,married or lives with partner,2,5
131046,male,43,HS graduate,married or lives with partner,3,4.05
131050,male,75,college graduate,never married,1,1.86
131051,male,62,9 to 11th grade,widow or divorced or separated,1,0.81
131052,female,80,less than 9th grade,widow or divorced or separated,1,
131053,female,58,some college,married or lives with partner,2,1.57
131054,male,56,9 to 11th grade,never married,1,0.75
131055,female,71,HS graduate,widow or divorced or separated,1,0.19
131056,female,35,some college,married or lives with partner,4,2.4
131057,male,80,college graduate,married or lives with partner,2,2.18
131058,male,55,college graduate,married or lives with partner,7,0.61
131059,male,70,college graduate,married or lives with partner,2,5
131060,female,36,college graduate,never married,1,4.49
131061,male,72,9 to 11th grade,widow or divorced or separated,1,3.34
131062,female,78,HS graduate,widow or divorced or separated,1,2.94
131063,female,37,college graduate,married or lives with partner,4,5
131065,male,65,HS graduate,widow or divorced or separated,1,1.37
131066,male,60,college graduate,married or lives with partner,4,3.6
131067,male,46,HS graduate,married or lives with partner,4,
131070,male,39,college graduate,married or lives with partner,5,
131073,male,63,some college,married or lives with partner,2,5
131074,male,43,college graduate,never married,1,5
131075,male,61,HS graduate,widow or divorced or separated,1,5.40E-79
131076,male,75,HS graduate,married or lives with partner,3,3.47
131077,male,47,some college,widow or divorced or separated,1,3.22
131079,male,38,college graduate,never married,2,3.77
131082,female,31,some college,never married,2,2.05
131083,female,52,9 to 11th grade,never married,2,1.18
131084,female,36,college graduate,married or lives with partner,3,5
131085,male,80,college graduate,married or lives with partner,2,2.32
131090,male,80,less than 9th grade,widow or divorced or separated,1,
131091,male,63,some college,married or lives with partner,2,5
131092,female,79,HS graduate,married or lives with partner,2,5
131093,male,36,college graduate,married or lives with partner,6,3.4
131094,female,26,college graduate,never married,3,5
131095,female,50,9 to 11th grade,married or lives with partner,2,4.1
131097,female,75,college graduate,married or lives with partner,2,1.51
131098,female,65,college graduate,widow or divorced or separated,4,4.15
131099,female,62,HS graduate,married or lives with partner,3,5
131100,female,70,HS graduate,married or lives with partner,3,1.3
131102,female,32,HS graduate,never married,2,
131106,female,57,college graduate,married or lives with partner,3,5
131107,male,80,college graduate,never married,1,2.33
131108,female,68,some college,widow or divorced or separated,2,3.39
131109,male,67,less than 9th grade,never married,1,0.96
131112,male,42,some college,married or lives with partner,2,4.6
131114,male,48,some college,married or lives with partner,4,0.49
131116,male,55,HS graduate,widow or divorced or separated,1,3.13
131117,male,61,college graduate,married or lives with partner,3,4.67
131118,male,73,some college,married or lives with partner,2,
131119,male,80,9 to 11th grade,widow or divorced or separated,1,1.03
131120,female,62,college graduate,widow or divorced or separated,2,2.73
131121,female,80,college graduate,widow or divorced or separated,1,1.65
131122,female,51,college graduate,widow or divorced or separated,3,
131124,male,80,HS graduate,married or lives with partner,2,1.64
131126,male,76,college graduate,married or lives with partner,2,5
131127,male,54,college graduate,never married,1,2.21
131129,female,69,some college,married or lives with partner,2,2.18
131130,female,75,some college,never married,1,
131131,male,55,HS graduate,never married,2,5.40E-79
131132,male,80,some college,married or lives with partner,2,1.91
131135,female,64,some college,married or lives with partner,3,2.71
131136,female,38,college graduate,married or lives with partner,5,4.31
131137,female,67,HS graduate,widow or divorced or separated,1,4.05
131139,female,40,college graduate,widow or divorced or separated,2,5
131143,male,46,college graduate,married or lives with partner,4,
131144,female,43,HS graduate,never married,2,3.28
131147,female,25,college graduate,never married,3,3.62
131148,male,66,some college,widow or divorced or separated,1,3.7
131150,female,52,HS graduate,married or lives with partner,4,3.27
131152,male,56,college graduate,never married,1,5
131153,female,51,some college,widow or divorced or separated,2,
131155,male,59,college graduate,married or lives with partner,2,5
131156,female,33,some college,married or lives with partner,4,5
131157,female,80,HS graduate,widow or divorced or separated,1,1.65
131158,male,45,less than 9th grade,widow or divorced or separated,5,0.82
131159,male,56,less than 9th grade,widow or divorced or separated,1,1.07
131160,male,43,college graduate,married or lives with partner,4,5
131161,female,43,some college,never married,2,1.97
131163,male,34,college graduate,married or lives with partner,5,2.85
131164,male,27,9 to 11th grade,never married,6,
131169,female,78,some college,widow or divorced or separated,1,5
131170,female,25,HS graduate,never married,1,0.37
131172,male,74,college graduate,married or lives with partner,2,3.55
131177,female,79,9 to 11th grade,widow or divorced or separated,2,1.75
131178,female,65,HS graduate,never married,1,0.79
131180,female,73,9 to 11th grade,married or lives with partner,2,4.62
131181,female,32,college graduate,married or lives with partner,4,4.86
131183,female,75,college graduate,never married,1,3.57
131185,female,65,college graduate,married or lives with partner,1,0.38
131187,male,59,less than 9th grade,married or lives with partner,2,1.9
131188,male,75,some college,widow or divorced or separated,1,0.88
131191,female,65,college graduate,married or lives with partner,2,4.92
131192,male,51,9 to 11th grade,widow or divorced or separated,5,5.40E-79
131193,male,71,college graduate,married or lives with partner,2,3.3
131194,male,49,some college,never married,2,3.11
131195,female,48,some college,widow or divorced or separated,1,0.34
131196,male,23,9 to 11th grade,never married,2,0.93
131197,male,59,college graduate,married or lives with partner,3,
131199,female,79,9 to 11th grade,widow or divorced or separated,3,3.91
131200,female,32,college graduate,married or lives with partner,5,2.31
131201,male,64,some college,widow or divorced or separated,1,
131202,male,80,college graduate,married or lives with partner,2,5
131203,female,78,HS graduate,married or lives with partner,2,2.46
131204,female,64,9 to 11th grade,married or lives with partner,2,2.18
131205,female,62,college graduate,widow or divorced or separated,2,2.79
131208,male,61,some college,married or lives with partner,2,4.59
131210,female,35,college graduate,married or lives with partner,2,5
131211,female,30,HS graduate,married or lives with partner,5,4.4
131215,female,68,HS graduate,never married,1,
131218,female,27,some college,married or lives with partner,2,5
131219,female,57,HS graduate,widow or divorced or separated,1,
131220,male,35,some college,never married,1,3.57
131222,male,33,HS graduate,married or lives with partner,1,1.86
131224,female,80,HS graduate,widow or divorced or separated,1,
131225,female,32,some college,never married,3,0.42
131227,male,70,college graduate,widow or divorced or separated,1,5
131228,male,61,college graduate,married or lives with partner,3,5
131229,female,58,college graduate,widow or divorced or separated,1,2.33
131230,female,21,college graduate,never married,3,0.52
131232,male,41,HS graduate,widow or divorced or separated,3,
131234,female,67,college graduate,widow or divorced or separated,1,4.8
131238,male,44,HS graduate,married or lives with partner,7,2.34
